   ,INT64,options,,"Resolver options"
TATTR,
------------------------------
TABLE,docker_container_labels
DESC,Docker container labels.
   ,STRING,id,INDEX,"Container ID"
   ,STRING,key,,"Label key"
   ,STRING,value,,"Optional label value"
TATTR,
------------------------------
TABLE,docker_container_mounts
DESC,Docker container mounts.
   ,STRING,id,INDEX,"Container ID"
   ,STRING,type,,"Type of mount (bind, volume)"
   ,STRING,name,,"Optional mount name"
   ,STRING,source,,"Source path on host"
   ,STRING,destination,,"Destination path inside container"
   ,STRING,driver,,"Driver providing the mount"
   ,STRING,mode,,"Mount options (rw, ro)"
   ,INT,rw,,"1 if read/write. 0 otherwise"
   ,STRING,propagation,,"Mount propagation"
TATTR,
------------------------------
TABLE,docker_container_networks
DESC,Docker container networks.
   ,STRING,id,INDEX,"Container ID"
   ,STRING,name,,"Network name"
   ,STRING,network_id,,"Network ID"
   ,STRING,endpoint_id,,"Endpoint ID"
   ,STRING,gateway,,"Gateway"
   ,STRING,ip_address,,"IP address"
   ,INT,ip_prefix_len,,"IP subnet prefix length"
   ,STRING,ipv6_gateway,,"IPv6 gateway"
   ,STRING,ipv6_address,,"IPv6 address"
   ,INT,ipv6_prefix_len,,"IPv6 subnet prefix length"
   ,STRING,mac_address,,"MAC address"
TATTR,
------------------------------
TABLE,docker_container_ports
DESC,Docker container ports.
   ,STRING,id,INDEX,"Container ID"
   ,STRING,type,,"Protocol (tcp, udp)"
   ,INT,port,,"Port inside the container"
   ,STRING,host_ip,,"Host IP address on which public port is listening"
   ,INT,host_port,,"Host port"
TATTR,
------------------------------
TABLE,docker_container_processes
DESC,Docker container processes.
   ,STRING,id,INDEX | REQUIRED,"Container ID"
   ,INT64,pid,,"Process ID"
   ,STRING,name,,"The process path or shorthand argv[0]"
   ,STRING,cmdline,,"Complete argv"
   ,STRING,state,,"Process state"
   ,INT64,uid,,"User ID"
   ,INT64,gid,,"Group ID"
   ,INT64,euid,,"Effective user ID"
   ,INT64,egid,,"Effective group ID"
   ,INT64,suid,,"Saved user ID"
   ,INT64,sgid,,"Saved group ID"
   ,INT64,wired_size,,"Bytes of unpagable memory used by process"
   ,INT64,resident_size,,"Bytes of private memory used by process"
   ,INT64,total_size,,"Total virtual memory size"
   ,INT64,start_time,,"Process start in seconds since boot (non-sleeping)"
   ,INT64,parent,,"Process parent's PID"
   ,INT64,pgroup,,"Process group"
   ,INT,threads,,"Number of threads used by process"
   ,INT,nice,,"Process nice level (-20 to 20, default 0)"
   ,STRING,user,,"User name"
   ,STRING,time,,"Cumulative CPU time. [DD-]HH:MM:SS format"
   ,DOUBLE,cpu,,"CPU utilization as percentage"
   ,DOUBLE,mem,,"Memory utilization as percentage"
CALIAS,total_size,phys_footprint
TATTR,
------------------------------
TABLE,docker_container_stats
DESC,Docker container statistics. Queries on this table take at least one second.
   ,STRING,id,INDEX | REQUIRED,"Container ID"
   ,STRING,name,,"Container name"
   ,INT,pids,,"Number of processes"
   ,INT64,read,,"UNIX time when stats were read"
   ,INT64,preread,,"UNIX time when stats were last read"
   ,INT64,interval,,"Difference between read and preread in nano-seconds"
   ,INT64,disk_read,,"Total disk read bytes"
   ,INT64,disk_write,,"Total disk write bytes"
   ,INT,num_procs,,"Number of processors"
   ,INT64,cpu_total_usage,,"Total CPU usage"
   ,INT64,cpu_kernelmode_usage,,"CPU kernel mode usage"
   ,INT64,cpu_usermode_usage,,"CPU user mode usage"
   ,INT64,system_cpu_usage,,"CPU system usage"
   ,INT,online_cpus,,"Online CPUs"
   ,INT64,pre_cpu_total_usage,,"Last read total CPU usage"
   ,INT64,pre_cpu_kernelmode_usage,,"Last read CPU kernel mode usage"
   ,INT64,pre_cpu_usermode_usage,,"Last read CPU user mode usage"
   ,INT64,pre_system_cpu_usage,,"Last read CPU system usage"
   ,INT,pre_online_cpus,,"Last read online CPUs"
